platform,video_id,video_title,author,text,likes,replies,time,parent_rpid,matched_patterns
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,dnno大笨蛋,日本最终兵器拿这个价5fw真买来打全国大赛了[汤圆],544,23,2026-09-14T06:24:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,晚安Reze,meiy那个肯定是燥皮的 他住东京月租都25w日元,195,0,2026-09-14T06:27:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,听月白,把meiy买了，来5fw4保一,172,3,2026-09-14T06:22:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,sakikotomori,ddy免费陪你双排 而你却,124,8,2026-09-14T06:23:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,没脑袋__,原来是瓦双排一个月啊，我还以为是双排一个月,116,1,2026-09-14T06:23:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,P0l0G,meiy是日本瓦的康康，开播一次能赚几十个4k,70,0,2026-09-14T06:30:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,SaKURaiiHiNAriii,8W扣个税连个房子都租不起，有点太假了，日本最终兵器如果真就这个月薪那我感觉不如找个班上了,52,0,2026-09-14T06:46:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,Th0masXL,日本好歹也是发达国家吧，这个钱能养自己吗，假消息也太假了,46,5,2026-09-14T08:01:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,Ilyalikeyou07,應該是合同有代言分成，基礎薪資8W，加上代言分成滿足聯賽的薪資要求，加上meiy直播是日本收入可以排進行列的高，大概收益是這些（影片開頭的彈幕和10w日元找KMD雙排都是我發的我自己推敲一下）,33,4,2026-09-14T06:53:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,甲板上的桅杆,就这点钱都不够yu大姐在日本的生存的吧[无限暖暖_毛线汪汪],23,1,2026-09-14T06:25:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,陆知祺,"一天八万日元都少了，meiy在日本的人气就相当于康康在国内的人气，每次播都有2,3w人[来古-注意]",21,3,2026-09-14T11:40:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,留意好帅,在另一个时间线： 仁爱：亚服双排吗k神？ kmd:   我是神,19,1,2026-09-14T06:36:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,御坂01007号,他那个人气800w还有点说服力[无限暖暖_毛线汪汪],18,0,2026-09-14T06:46:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,Garou绝对之恶,其实是日入8万[doge_金箍],15,3,2026-09-14T09:54:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,听风起雨落i,日本k哥找个日一决来当二台很合理吧,12,0,2026-09-14T06:24:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,走过一下午的纬度,感觉是代言人费用？派世这个鼠标垫卖几个月就给他几个月钱然后分成另算，八万我都不知道怎么活下去,11,7,2026-09-14T06:48:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,Hamika_,就他日本第一人的咖位随便接个代言都几十万了吧,10,0,2026-09-14T06:38:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,wulei61616,Meiy超级火的在日本，之前直播人数热度基本上都是前几,10,3,2026-09-14T07:49:00+08:00,,
